ROW_NO,RESERVATION_NAME,TRAVEL_MODE,VERSION_CODE,ACCOUNT_TYPE,AGENCY_CODE,TEMPLATE_CLASS_NAME,TEMPLATE_NAME,SERVICE_ACTION,SERVICE_METHOD,EXECUTION_ORDER,FILEWRITE,EXECUTION_TYPE,ENDPOINT,VALIDATION_SCHEMA
1,SABRE,HOTEL,V1,RF,101,GetReservationRQ,GetReservationRQ,GetReservationRQ,GetReservationRQ,1,Y,CURL,https://sws-crt.cert.sabre.com,"{""$id"": ""http://example.com/root.json"", ""type"": [""object"", ""array""], ""title"": ""The Root Schema"", ""$schema"": ""http://json-schema.org/draft-07/schema#"", ""definitions"": {}}"
1,SABRE,HOTEL,V1,RF,101,CancelPnr,CancelPnr,OTA_CancelLLSRQ,OTA_CancelLLSRQ,2,Y,CURL,https://sws-crt.cert.sabre.com,"{""$id"": ""http://example.com/root.json"", ""type"": [""object"", ""array""], ""title"": ""The Root Schema"", ""$schema"": ""http://json-schema.org/draft-07/schema#"", ""definitions"": {}}"
1,SABRE,HOTEL,V1,RF,101,EndTransactionRQ,EndTransactionRQ,EndTransactionLLSRQ,EndTransactionLLSRQ,3,Y,CURL,https://sws-crt.cert.sabre.com,"{""$id"": ""http://example.com/root.json"", ""type"": [""object"", ""array""], ""title"": ""The Root Schema"", ""$schema"": ""http://json-schema.org/draft-07/schema#"", ""definitions"": {}}"
